"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Chiare fresche et dolc’acque",0,Voice,Bernardo,Pisano,1,Francesco,Petrarca,1,Renaissance,Madrigal,11.0,Sibelius,Encoded with Sibelius,sibelius,F164_11_Pisano_Chiare_fresche_OMRcorrIL.sib,https://drive.google.com/open?id=1haiQdCdknmrUyA5LNyeKuWjwW5RA42NE,midi,F164_11_Pisano_Chiare_fresche_OMRcorrIL.mid,https://drive.google.com/open?id=13fGiNv_7WD5Eb_vKjEsTMXCDPXadgWNQ,xml,F164_11_Pisano_Chiare_fresche_OMRcorrIL.xml,https://drive.google.com/open?id=1nqwCisq0129oDOVR0GZXbd9HdtsKLsdu
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Che deggio far che mi consigli Amore? [2, Pisano, F&H]",0,Voice,Bernardo,Pisano,1,Francesco,Petrarca,1,Renaissance,Madrigal,12.0,Sibelius,Encoded with Sibelius,sibelius,F164_12_Pisano_Che_debbio_OMRcorrIL.sib,https://drive.google.com/open?id=1pkzTJwoRmE78V65kdFGELYPe9xX3csSU,midi,F164_12_Pisano_Che_debbio_OMRcorrIL.mid,https://drive.google.com/open?id=1Yfjz_B99I8T6pR1f0DexYcO95YxGwJhd,xml,F164_12_Pisano_Che_debbio_OMRcorrIL.xml,https://drive.google.com/open?id=1vGurTMPkvF9b3aBPcso7Kp0MqLcmzLJu
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Giamai non veder gli occhi",0,Voice,Bernardo,Pisano,0,Lorenzo,Strozzi,1,Renaissance,Madrigal,13.0,Sibelius,Encoded with Sibelius,sibelius,F164_13_Pisano_Gia_mai_OMRcorrIL.sib,https://drive.google.com/open?id=1v-57HtEjkynkLlqvQwUw3olKL0GUEC9r,midi,F164_13_Pisano_Gia_mai_OMRcorrIL.mid,https://drive.google.com/open?id=1sup0pWBzOrKNpyLCrWwBkXQnLd2lL3Pc,xml,F164_13_Pisano_Gia_mai_OMRcorrIL.xml,https://drive.google.com/open?id=15hB3jEins8vppj9i1DPsIlm_1TWZS359
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Chi della fede altrui piglia sospecto",0,Voice,Bernardo,Pisano,0,Anonymous,,1,Renaissance,Madrigal,14.0,Sibelius,Encoded with Sibelius,sibelius,F164_14_Pisano_Chi_della_OMRcorrIL.sib,https://drive.google.com/open?id=1nRshRtmuiIOMyXnNoWQ0fmV2yYqlbr4m,midi,F164_14_Pisano_Chi_della_OMRcorrIL.mid,https://drive.google.com/open?id=16ZrZCYDdsXiRVj2mEI_VmoJAE0yeV25d,xml,F164_14_Pisano_Chi_della_OMRcorrIL.xml,https://drive.google.com/open?id=15PSRJqBxonezFbAegFjOrJJ7zC3ZoSsy
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Cosi nel mio parlare voglio essere aspro",0,Voice,Bernardo,Pisano,0,Dante,Alighieri,1,Renaissance,Madrigal,15.0,Sibelius,Encoded with Sibelius,sibelius,F164_15_Pisano_Cosi_nel_OMRcorrIL.sib,https://drive.google.com/open?id=1zZE2BNgWlZydtU3T1mV35pFQjDYNfArR,midi,F164_15_Pisano_Cosi_nel_OMRcorrIL.mid,https://drive.google.com/open?id=1Mh6FxHvnr62zciXk0LxtjRDHIN9u4UJj,xml,F164_15_Pisano_Cosi_nel_OMRcorrIL.xml,https://drive.google.com/open?id=1TADkTUVpsS47tml90FhUQovm0N98xbms
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Tanta pietà cor mio talhor m'assale",0,Voice,Bernardo,Pisano,1,Anonymous,,1,Renaissance,Madrigal,16.0,Sibelius,Encoded with Sibelius,sibelius,F164_16_Pisano_Tanta_pieta_OMRcorrIL.sib,https://drive.google.com/open?id=1vR3bQF4j51V2svuopxoYv7TrAb6aJ71r,midi,F164_16_Pisano_Tanta_pieta_OMRcorrIL.mid,https://drive.google.com/open?id=1u6eT9h-Y7UANmgFgfn_OqajBFmi-uHEA,xml,F164_16_Pisano_Tanta_pieta_OMRcorrIL.xml,https://drive.google.com/open?id=1MlUQ7BHAqvWQ3FYvXRMFZ4LSELBGusUe
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Nuova angioletta sovra l'ale accorta",0,Voice,Bernardo,Pisano,0,Francesco,Petrarca,1,Renaissance,Madrigal,17.0,Sibelius,Encoded with Sibelius,sibelius,F164_17_Pisano_Nuova_angioletta_OMRcorrIL.sib,https://drive.google.com/open?id=1Lk2ITXczUBSlA5XcMrKss0HTYwc8PGWa,midi,F164_17_Pisano_Nuova_angioletta_OMRcorrIL.mid,https://drive.google.com/open?id=1cSEPXtH-usJ2fg-G1fzLEn6JybjOxL7g,xml,F164_17_Pisano_Nuova_angioletta_OMRcorrIL.xml,https://drive.google.com/open?id=1bxISjMy8IsAee_gUPX1sTvcZaMh-Nmk3
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Poich'io parti da cui partir non posso",0,Voice,Bernardo,Pisano,0,Anonymous,,1,Renaissance,Madrigal,18.0,Sibelius,Encoded with Sibelius,sibelius,F164_18_Pisano_Poichio_parti_OMRcorrIL.sib,https://drive.google.com/open?id=1LZF4eA3-6ySPX5nnuVpP6VYBL5LtJJtq,midi,F164_18_Pisano_Poichio_parti_OMRcorrIL.mid,https://drive.google.com/open?id=18kmyC7rlTZ6lx1cNYgkxib-U4cZqRGPz,xml,F164_18_Pisano_Poichio_parti_OMRcorrIL.xml,https://drive.google.com/open?id=1ELSfZmvM86Z1fc5X5Ae-52m9TFq4NPzD
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Hor vedi Amore che giovinetta donna",0,Voice,Bernardo,Pisano,1,Francesco,Petrarca,1,Renaissance,Madrigal,19.0,Sibelius,Encoded with Sibelius,sibelius,F164_19_Pisano_Or_vedi_OMRcorrIL.sib,https://drive.google.com/open?id=10uHjBkVomuwxCCE7SkVV2bMfpUJmf6L-,midi,F164_19_Pisano_Or_vedi_OMRcorrIL.mid,https://drive.google.com/open?id=16d1GDhhTwtE-omNcBUktz0PseDOfG51y,xml,F164_19_Pisano_Or_vedi_OMRcorrIL.xml,https://drive.google.com/open?id=1DZdwJRiEN3rwXQLquI-ieeQbWEbG-J2g
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Amor che mi tormenti",0,Voice,Sebastiano,Festa,1,Anonymous,,1,Renaissance,Madrigal,20.0,Sibelius,Encoded with Sibelius,sibelius,F164_20_Festa_Amor_che_OMRcorrIL.sib,https://drive.google.com/open?id=1qSKynMT0_2tJV0tlQmIhRsKGFCILgduU,midi,F164_20_Festa_Amor_che_OMRcorrIL.mid,https://drive.google.com/open?id=1ZHrpwEq_ClIHOvcI2sjjgkf4OpttR5lg,xml,F164_20_Festa_Amor_che_OMRcorrIL.xml,https://drive.google.com/open?id=12kRCHxVMXqwfve3L4kyEYo-yV-z6r1nB
