Composer,Mass,Movement,Source,Sibelius file,xml file,pdf file,midi file,Corrected .sib file (if needed),Corrected .xml (if needed),Notes
P. de la Rue,Missa L'homme arme II,Benedictus,Opera Omnia 1989,https://drive.google.com/open?id=1m29AwP95vpNM0fDWLUlNTD8AEC2FmAyl,,,,,,Transcribed into original note values
P. de la Rue,Missa Nunca fue pena mayor,Benedictus,JRP,https://drive.google.com/open?id=1-xqfIrDKGCjOex-r4O0-buXjgbIQ91gT,,,,,,
P. de la Rue,Missa O gloriosa domina,Benedictus,JRP,https://drive.google.com/open?id=1UL_DrATUh_rz6tw_Dkt3sVKiGlL5WuZm,,,,,,
P. de la Rue,Missa O gloriosa domina,In nomine,JRP,,,,,,,
P. de la Rue,Missa O gloriosa domina,Agnus II,JRP,https://drive.google.com/open?id=1nNfRRY7n53kmIMig2rEB3YNG62mt65lU,,,,,,
P. de la Rue,Missa O salutaris hostia,Pleni,JRP,https://drive.google.com/open?id=106R7v6TSHDI3gBQh5BG2msOprBXywb0C,,,,,,
P. de la Rue,Missa O salutaris hostia,Benedictus,JRP,https://drive.google.com/open?id=1of8HK1-h7aCn283X5EGVTW5crdq-He0K,,,,,,
P. de la Rue,Missa Pascale,Benedictus,Opera Omnia 1989,https://drive.google.com/open?id=1eUSlEAhwgOgEeaKj0YftODfKURgN1yLf,,,,,,Transcribed into original note values
P. de la Rue,Missa Pascale,In nomine,Opera Omnia 1989,https://drive.google.com/open?id=17DqPfsT_9Tr4AQATzgTIO0-2TWQ-mNjB,,,,,,Transcribed into original note values
P. de la Rue,Missa Pro fidelibus defunctis,Sicut Cervus,Opera Omnia 1989,https://drive.google.com/open?id=1Y17bXbtxbAG2fm8K2c2w07oZluhViNjI,,,,,,Transcribed into original note values
P. de la Rue,Missa Pro fidelibus defunctis,Sitivit anima mea,Opera Omnia 1989,https://drive.google.com/open?id=1E1Mtn4Zi8Fml-qA_simf4F_lFdcfD-zl,,,,,,Transcribed into original note values
P. de la Rue,Missa Sancta dei genitrix,Benedictus,Opera Omnia 1989,https://drive.google.com/open?id=1CfZ-JvDc6m0SK4WlXhfhGbVeukvlmrtk,,,,,,Transcribed into original note values
P. de la Rue,Missa Sine Nomine I,Benedictus,Opera Omnia 1989,https://drive.google.com/open?id=1aXYJBDzEXkYXiN5LiZMOWD6UG_fwEHJO,,,,,,Transcribed into original note values
P. de la Rue,Missa Sine Nomine I,In nomine,Opera Omnia 1989,https://drive.google.com/open?id=1PoFGh9TL-RKKWJLskH4s7diWAxhd15fC,,,,,,Transcribed into original note values
P. de la Rue,Missa Sub tuum presidium,Benedictus,Opera Omnia 1989,https://drive.google.com/open?id=1tJXh3lek_gfCEwBcl4raz9ak5n9mXxLJ,,,,,,Transcribed into original note values
