A cappella ...
Accordion
Acoustic bass guitar
Actor
Aeolian harp
Aeolian­vocalion
Air guitar
Ajaeng
Alboka
Alesis HR­16 drum machine
Alesis MMT­8 drum machine
Alg j
Allen organ
Alphorn
Alto clarinet
Alto flute
Alto horn
Alto trombone
Alto voice
Amadinda
Ampico reproducing piano
Angklung
Apollo­lyre
Appalachian dulcimer
Arará (Drum)
Archicembalo
Archiphone
Archlute
Arpeggione
Artrio­Angelus reproducing piano
Atabaque
Atcheré
Atelier organ
Atenteben
Audeharp
Aulos
Autoharp
Babadok
Ba lama
Bagpipe
Bajo sexto
B lab n
Balalaika
Baldwin organ
Balloon
Balo
Bambuso sonoro (Musical instrument)
Ban hu
Band organ
Bandoneon
Bandora
Bands (Music)
Bandura
Bandurria
Banjo
Banjo ukulele
B nsur
Baritone (Musical instrument)
Baritone voice
Baritones (Singers)
Barrel organ
Barrel piano
Baryton
Bass baritone
Bass­baritones
Bass clarinet
Bass drum
Bass flute
Bass guitar
Bass trombone
Bass voice
Basses (Singers)
Basset clarinet
Basset horn
Bassoon
Batá
Bayan
Begena
Bells
Berimbau
Bian zhong
Bichromatic harmonium
Big bands
Bilo
Birbyn
Biwa
Blul
Bodhrán
Bonang
Bone flute
Bones (Musical instrument)
Bongo
Bonkó
Bouzouki
Bowed stringed instruments
Brass bands
Brass instruments
Bronze bells
Bronze drum
Buddhist temple bells
Bugle
Bulbultarang
Bull­roarer
Bumbass
Button­key accordion
Cajón (Musical instrument)
Calliope
Campanula (Musical instrument)
Carillons
Casio CZ synthesizer
Casio CZ­101 synthesizer
Casio FZ­1 synthesizer
Casio FZ­10M synthesizer
Castanets
Catá (Musical instrument)
Cavaquinho
Celesta
Celesta­chime
Cell phones
Celtic harp
Cembal d’amour
Cenda
hakh
Chalumeau
Chamadron
Chamber organ
Changgo
Changing voices
Charango
Chekeré
Chiboni
Children’s voices
Chimes
Chiming clocks
Ching (Cymbals)
Chipendani
Chirimía (Musical instrument)
Chitarra battente
Chitarrone
Cigar box guitar
Cimbalom
Circus bands
Citaharp
Cithara
Cittern
Clappers (Musical instrument)
Clarinet
Clarinette d’amour
Claves
Clavi­harp
Clavichord
Clavicylinder
Clavicytherium
Clavioline
Claviorganum
Clock chimes
Cloud chamber bowls (Musical instrument)
Colascione
Computer printer
Concertina
Conductor
Congas
Conn organ
Continuo
Contrabass clarinet
Contrabass flute
Contrabassoon
Contralto
Contraltos
Cornet
Cornett
Countertenor
Countertenors
Country music groups
Cowbells
Cristal
Crotales
Crumhorn
Crwth
Csakan
Cuatro (Musical instrument)
Cuíca
Cymbals
Da tong
Damba (Drum)
Ðàn bâù
Ðàn tranh
Dance orchestras
Dancer
D’Angelico guitar
Daph
Darabukka
Daxophone
Dhimay
Dholi
Di zi
Diabelskie skrzypce
Didjeridu
Digital player piano
Dilrub
Djembe
Dobro
Dolceola
Dömbra (Two­stringed lute)
Domra
Double bass
Drum
Drum and bugle corps
Drum circles
Drum machine
Drum set
Duduk (Oboe)
Dudy
Dulcian
Dulcimer
Dulcitone
Dulzaina
Dümbelek
Duo­Art reproducing piano
Dut r
Dvorgrle
Early­music groups
Effects pedals
Ekón
Ekue
Electric guitar
Electric violin
Electric violoncello
Electronic harpsichord
Electronic keyboard (Synthesizer)
Electronic musical instruments
Electronic organ
Electronic piano
Electronics (Musical medium of performance)
Electronium
English guitar
English horn
Epinette des Vosges (Musical instrument)
Equal voices
Er hu
Estey reed organ
Euphonium
Fêli
Fender guitar
Fender Rhodes piano
Fife
Fife and drum corps
Finger cymbals
Flageolet
Flaviol
Flügelhorn
Flute
Frame drums
Free reed instruments
Gaita
Gaita (Flute)
Galoubet
Gambang
Gamelan
Gamelan angklung
Gamelan degung
Gamelan gong gede
Gamelan gong kebyar
Gamelan jegog
Gamelan joged bumbung
Gao hu
Gaveau piano
Ge hu
Gender (Musical instrument)
Ghata
Ghichak
Gibson ES­175 guitar
Gibson Les Paul standard guitar
Gibson Moderne guitar
Glass
Glass harmonica
Glockenspiel
Goblet drum
Goge
Gong
Gonrang
Gora (Musical instrument)
Gottuvadyam
Gralla
Gretsch 6120 guitar
Gretsch guitar
Guan
G dulka
Guinbri
Guiro
Guitar
Guitarra portuguesa
Guitarrón
Gulbransen organ
Guml
Gusle
Gusli
Haeg m
Hammond B­3 organ
Hammond organ
Handbell choirs
Handbells
Handchimes
Hardanger fiddle
Hardwood drum
Harmonic canon (Musical instrument)
Harmonica
Harmonometer
Harp
Harp­lute
Harp­lute guitar
Harp zither
Harpola
Harpsichord
Hawaiian guitar
Heckelphone
Helicon
Heliphon
Hichiriki
High Voice
Horn (Musical instrument)
Hourglass drum
Hu hu
Hu qin
Huang zhong (Musical instrument)
Hurdy­gurdy
Hydraulic barrel organ
Hydraulic organ
Hy n’g m
Ichigenkin
Ideal harp
Imzad
Iwabue
Jaltarang
Jam bands
Jawbone (Musical instrument)
Jew’s harp
Jh ñjh
Jin qian ban (Musical instrument)
Jing hu
Jouhikko
Jug bands
Kacapi (Lute)
Kacapi (Zither)
Kaen
