Ja,Tadinghen,1470-01-01,1500-01-01
Torquato,Tasso,,
Peter,Tchaikovsky,,
Pierrequin de,Thérache,1470-01-01,1528-01-01
Johannes,Tinctoris,,
Johannes,Touront,1450-01-01,1475-01-01
Philippe,Verdelot,1480-01-01,1552-01-01
Vic,,,
Tomás Luis de,Victoria,,
Vincenet,,,
Philippe de,Vitry,1291-01-01,1361-01-01
Gaspar van,Weerbeke,1445-01-01,1516-01-01
Giaches de,Wert,1535-01-01,1596-01-01
Adrian,Willaert,1490-01-01,1562-01-01
Martin,Wolff,1490-01-01,1502-01-01
Yacten,,1475-01-01,1500-01-01
Jean,Sibelius,1865-01-01,1957-01-01
Georg Philipp,Telemann,1681-01-01,1767-01-01
Robert,Schumann,1810-01-01,1856-01-01
Henry,Purcell,1659-01-01,1695-01-01
Giuseppe Maria,Cambini,1746-01-01,1825-01-01
Franz,Danzi,1763-01-01,1826-01-01
Christoph Willibald,Gluck,1714-01-01,1787-01-01
Richard,Strauss,1864-01-01,1949-01-01
Richard,Wagner,1813-01-01,1883-01-01
Arcangelo,Corelli,1653-01-01,1713-01-01
Girolamo,Frescobaldi,,
Johann Jacob,Froberger,1616-01-01,1667-01-01
Adam de la,Halle,1245-01-01,1288-01-01
Claudio,Monteverdi,1567-01-01,1643-01-01
Muzio,Clementi,1752-01-01,1832-01-01
Dietrich,Buxtehude,1637-01-01,1707-01-01
Alexander,Scriabin,1872-01-01,1915-01-01
Johann,Pachelbel,1653-01-01,1706-01-01
Johann Nepomuk,Hummel,1778-01-01,1837-01-01
Carl Maria von,Weber,1786-01-01,1826-01-01
John,Field,1782-01-01,1837-01-01
Andrew,Fogarty,,
Gilles,Binchois,,
Anonymous,,,
Hayne van,Ghizeghem,1445-01-01,1497-01-01
