4 Voice Motets (1450-1600),Beati immaculati,1548-01-01,1611-01-01,Beati immaculati,1548-01-01,1611-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Beati omnes - Ecce sic benedicatur,1516-01-01,1565-01-01,Beati omnes - Ecce sic benedicatur,1516-01-01,1565-01-01,Rore,Cipriano de,Cantilena Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Beati omnes qui timent Dominum,1486-01-01,1543-01-01,Beati omnes qui timent Dominum,1486-01-01,1543-01-01,Senfl,Ludwig,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Benedicam Dominum,1548-01-01,1611-01-01,Benedicam Dominum,1548-01-01,1611-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Soprano,Alto,,,,,,,,,,
4 Voice Motets (1450-1600),"Benedicite, omnia opera",1450-01-01,1521-01-01,"Benedicite, omnia opera",1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Benedictus Dominus Deus meus,1490-01-01,1512-01-01,Benedictus Dominus Deus meus,1490-01-01,1512-01-01,Févin,Antoine de,,True,Unknown,,,,,,,,,,,,
4 Voice Motets (1450-1600),Bonitatem fecisti cum servo tuo,1470-01-01,1548-01-01,Bonitatem fecisti cum servo tuo,1470-01-01,1548-01-01,,Carpentras,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Calami sonum ferentes,1516-01-01,1555-01-01,Calami sonum ferentes,1516-01-01,1555-01-01,Rore,Cipriano de,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Conserva me domine,1475-01-01,1502-01-01,Conserva me domine,1475-01-01,1502-01-01,Wolff,Martin,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Date ei de fructu,1548-01-01,1600-01-01,Date ei de fructu,1548-01-01,1600-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),De profundis clamavi,1475-01-01,1533-01-01,De profundis clamavi,1475-01-01,1533-01-01,Champion,Nicolas,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),De profundis clamavi,1450-01-01,1521-01-01,De profundis clamavi,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Deus pacis reduxit,1480-01-01,1526-01-01,Deus pacis reduxit,1480-01-01,1526-01-01,Stoltzer,Thomas,Motet,True,Bass,Contratenor,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),Dies sanctificatus,1563-01-01,1563-01-01,Dies sanctificatus,1563-01-01,1563-01-01,Palestrina,Giovanni Pierluigi da,Motet,True,Alto,Superius,,,,,,,,,,,
4 Voice Motets (1450-1600),Dilectus Deo et hominibus,1450-01-01,1521-01-01,Dilectus Deo et hominibus,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Doctor bonus amicus Dei Andreas,1572-01-01,1572-01-01,Doctor bonus amicus Dei Andreas,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Domine exaudi orationem meam auribus,1450-01-01,1521-01-01,Domine exaudi orationem meam auribus,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Domine ne in furore,1480-01-01,1552-01-01,Domine ne in furore,1480-01-01,1552-01-01,Verdelot,Philippe,Motet,True,Alto,Bassus,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),Domine ne projicias me,1450-01-01,1521-01-01,Domine ne projicias me,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Domine non sum dignus,1583-01-01,1583-01-01,Domine non sum dignus,1583-01-01,1583-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),"Domine, ne in furore; Cor meum conturbatum est",1450-01-01,1521-01-01,"Domine, ne in furore; Cor meum conturbatum est",1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Alto,Bass,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),"Domine, ne in furore; Turbatus est furore",1450-01-01,1521-01-01,"Domine, ne in furore; Turbatus est furore",1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Alto,Bass,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),"Dulces exuviae	",1450-01-01,1521-01-01,"Dulces exuviae	",1450-01-01,1521-01-01,,Josquin Des Prez,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Duo seraphim clamabant,1583-01-01,1583-01-01,Duo seraphim clamabant,1583-01-01,1583-01-01,Victoria,Tomás Luis de,Motet,True,Alto,Bass,Tenor,,,,,,,,,,
4 Voice Motets (1450-1600),Ecce sacerdos magnus,1585-01-01,1585-01-01,Ecce sacerdos magnus,1585-01-01,1585-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Ecce tu pulchra es,1450-01-01,1521-01-01,Ecce tu pulchra es,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Ego sum panis vivus,1548-01-01,1600-01-01,Ego sum panis vivus,1548-01-01,1600-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Estote fortes in bello,1585-01-01,1585-01-01,Estote fortes in bello,1585-01-01,1585-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Factum est autem,1450-01-01,1521-01-01,Factum est autem,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Fama malum,1450-01-01,1521-01-01,Fama malum,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
