"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Chiare fresche et dolc’acque,0,Voice,Bernardo,Pisano,1,Secular,Renaissance,Madrigal,11,Francesco,Petrarca,1,https://drive.google.com/open?id=1PHngIaheSpL_koJlbg9ZrlENsvRwg4il,https://drive.google.com/open?id=1Py5EB7zr-kQf_rN1gl1g4fIALYb8S34p,,,https://drive.google.com/open?id=1haiQdCdknmrUyA5LNyeKuWjwW5RA42NE,https://drive.google.com/open?id=1nqwCisq0129oDOVR0GZXbd9HdtsKLsdu,https://drive.google.com/open?id=13fGiNv_7WD5Eb_vKjEsTMXCDPXadgWNQ,https://drive.google.com/open?id=1mqxAAotd0guxpmmKyiPFG_JZMLeGt-sW
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167","Che deggio far che mi consigli Amore? [2, Pisano, F&H]",0,Voice,Bernardo,Pisano,1,Secular,Renaissance,Madrigal,12,Francesco,Petrarca,1,https://drive.google.com/open?id=16To4mJR5mabMO-7jxZ6cWjUyIcdeBuEw,https://drive.google.com/open?id=1M3ukZJaOJIBg-bZFOJgJf7b_8wFnslCi,,,https://drive.google.com/open?id=1pkzTJwoRmE78V65kdFGELYPe9xX3csSU,https://drive.google.com/open?id=1vGurTMPkvF9b3aBPcso7Kp0MqLcmzLJu,https://drive.google.com/open?id=1Yfjz_B99I8T6pR1f0DexYcO95YxGwJhd,https://drive.google.com/open?id=19tIY2fEnCXPoY6ENfxs-q_XYaI2XVNGH
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Giamai non veder gli occhi,0,Voice,Bernardo,Pisano,0,Secular,Renaissance,Madrigal,13,Lorenzo,Strozzi,1,https://drive.google.com/open?id=1hDX1JHSgmvoAi8WWMMx0sRZ8gi_HBZ9I,https://drive.google.com/open?id=13TzXN0Q4GsVUn3jdZIUj5jl1xsnY-2dr,,,https://drive.google.com/open?id=1v-57HtEjkynkLlqvQwUw3olKL0GUEC9r,https://drive.google.com/open?id=15hB3jEins8vppj9i1DPsIlm_1TWZS359,https://drive.google.com/open?id=1sup0pWBzOrKNpyLCrWwBkXQnLd2lL3Pc,https://drive.google.com/open?id=1cYqvyMBEpA29HnHeMZds6LKXz3C6Hf7J
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Chi della fede altrui piglia sospecto,0,Voice,Bernardo,Pisano,0,Secular,Renaissance,Madrigal,14,Anonymous,,0,https://drive.google.com/open?id=1oXTlXdv8puejeW4f_6_uf6KBBUSzKO8U,https://drive.google.com/open?id=1THx4VhdO-_J8ZEvYCyd5_kvzq1Z-WBS5,,,https://drive.google.com/open?id=1nRshRtmuiIOMyXnNoWQ0fmV2yYqlbr4m,https://drive.google.com/open?id=15PSRJqBxonezFbAegFjOrJJ7zC3ZoSsy,https://drive.google.com/open?id=16ZrZCYDdsXiRVj2mEI_VmoJAE0yeV25d,https://drive.google.com/open?id=1V-MDXtlbgCJif6JDvn4CJYeVVChZh90E
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Cosi nel mio parlare voglio essere aspro,0,Voice,Bernardo,Pisano,0,Secular,Renaissance,Madrigal,15,Dante,Alighieri,1,https://drive.google.com/open?id=1MhR0Cubd2s9WONzNpKL8gJM7sMZrPgLP,https://drive.google.com/open?id=1uU58sbkcTQsuNlTi4nB6cPf1m1YB_hMW,,,https://drive.google.com/open?id=1zZE2BNgWlZydtU3T1mV35pFQjDYNfArR,https://drive.google.com/open?id=1TADkTUVpsS47tml90FhUQovm0N98xbms,https://drive.google.com/open?id=1Mh6FxHvnr62zciXk0LxtjRDHIN9u4UJj,https://drive.google.com/open?id=1_keSpBiLfPJvf_FYfGryZnhGPLgzp3WL
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Tanta pietà cor mio talhor m'assale,0,Voice,Bernardo,Pisano,1,Secular,Renaissance,Madrigal,16,Anonymous,,0,https://drive.google.com/open?id=1YIcbwwwzxQNXjmweAxhvpy2iVcM-zmvB,https://drive.google.com/open?id=1uXaHlW0ntxY0gg6tXe8CKIr3yWv6imVB,,,https://drive.google.com/open?id=1vR3bQF4j51V2svuopxoYv7TrAb6aJ71r,https://drive.google.com/open?id=1MlUQ7BHAqvWQ3FYvXRMFZ4LSELBGusUe,https://drive.google.com/open?id=1u6eT9h-Y7UANmgFgfn_OqajBFmi-uHEA,https://drive.google.com/open?id=1rxaCBSu10U3SxnYpiowJ2hMFOGBBZohG
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Nuova angioletta sovra l'ale accorta,0,Voice,Bernardo,Pisano,0,Secular,Renaissance,Madrigal,17,Francesco,Petrarca,1,https://drive.google.com/open?id=19uRECXKfFVP6H0Yf3jAzg8Kn7y6D9r_H,https://drive.google.com/open?id=1IvBpQYb-uokULU4vJbfZV05f6yEfLjCx,,,https://drive.google.com/open?id=1Lk2ITXczUBSlA5XcMrKss0HTYwc8PGWa,https://drive.google.com/open?id=1bxISjMy8IsAee_gUPX1sTvcZaMh-Nmk3,https://drive.google.com/open?id=1cSEPXtH-usJ2fg-G1fzLEn6JybjOxL7g,https://drive.google.com/open?id=1Z-pawk7iF-u7MCZy4pC20y8T-QmmiNtG
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Poich'io parti da cui partir non posso,0,Voice,Bernardo,Pisano,0,Secular,Renaissance,Madrigal,18,Anonymous,,0,https://drive.google.com/open?id=1jaHiXzq3kP50Y-U18doc8wbfhYaAjWIr,https://drive.google.com/open?id=1iUYnTPPdqKWk3sTunK4fUWMC0VVW2xfy,,,https://drive.google.com/open?id=1LZF4eA3-6ySPX5nnuVpP6VYBL5LtJJtq,https://drive.google.com/open?id=1ELSfZmvM86Z1fc5X5Ae-52m9TFq4NPzD,https://drive.google.com/open?id=18kmyC7rlTZ6lx1cNYgkxib-U4cZqRGPz,https://drive.google.com/open?id=1QFZtUbyjamhzoG09m1ycbeLsnqKGAwFc
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Hor vedi Amore che giovinetta donna,0,Voice,Bernardo,Pisano,0,Secular,Renaissance,Madrigal,19,Francesco,Petrarca,1,https://drive.google.com/open?id=1USzF-05SUlk9AgM96SMmqp5iQcEaxXFo,https://drive.google.com/open?id=1GS5kO5pMl69SZ7qkqDng5Svc-0m1Rtkb,,,https://drive.google.com/open?id=10uHjBkVomuwxCCE7SkVV2bMfpUJmf6L-,https://drive.google.com/open?id=1DZdwJRiEN3rwXQLquI-ieeQbWEbG-J2g,https://drive.google.com/open?id=16d1GDhhTwtE-omNcBUktz0PseDOfG51y,https://drive.google.com/open?id=11xuhw3ftKc4fwBPvr_CRDgt1fy7AiEUV
"Florence, Italy, Biblioteca Nazionale Centrale, MS Magliabechi XIX.164-167",Amor che mi tormenti,0,Voice,Sebastiano,Festa,1,Secular,Renaissance,Madrigal,20,Anonymous,,0,https://drive.google.com/drive/folders/1TAAdlbHUrjd_y32USX6Nga2JzzwmvZ5j,https://drive.google.com/open?id=1gdkdrUWuA9li2VjVkQZnqfZOFPN9zzkF,,,https://drive.google.com/open?id=1qSKynMT0_2tJV0tlQmIhRsKGFCILgduU,https://drive.google.com/open?id=12kRCHxVMXqwfve3L4kyEYo-yV-z6r1nB,https://drive.google.com/open?id=1ZHrpwEq_ClIHOvcI2sjjgkf4OpttR5lg,https://drive.google.com/open?id=1K9wiJ7fZ2fLISZFZgMOnD4yt4RqX43g3
