RenComp7_metadata,,,,,,,
File Name,Composer Given Name,Composer Surname,Musical Work Name,Section Name,Genre,Sacred/Secular,Collection Name
Antoine_Busnoys/Bus3041-Ma_tres_souveraine_princesse.mid,Antoine,Busnoys,Ma tres souveraine princesse,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3042-Ma_vostre_cueur.mid,Antoine,Busnoys,Ma vostre cueur,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3043-Mon_mignault__Gracieuse_plaisante_muniere.mid,Antoine,Busnoys,Mon mignault  Gracieuse plaisante muniere,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3044-Mon_seul_et_cele_souvenir.mid,Antoine,Busnoys,Mon seul et cele souvenir,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3045-O_Fortune_trop_tu_es_dure.mid,Antoine,Busnoys,O Fortune trop tu es dure,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3046-On_a_grant_mal__On_est_bien_malade.mid,Antoine,Busnoys,On a grant mal  On est bien malade,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3047-Pour_entretenir_mes_amours.mid,Antoine,Busnoys,Pour entretenir mes amours,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3048-Pucellotte_que_dieu_vous_gart.mid,Antoine,Busnoys,Pucellotte que dieu vous gart,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3049-Quant_jay_au_cueur.mid,Antoine,Busnoys,Quant jay au cueur,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3050-Quant_vous_me_ferez.mid,Antoine,Busnoys,Quant vous me ferez,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3051-Quelque_pauvre_homme_I.mid,Antoine,Busnoys,Quelque pauvre homme I,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3052-Quelque_pauvre_homme_II.mid,Antoine,Busnoys,Quelque pauvre homme II,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3053-Resjois_toy_terre_de_France__Rex_pacificus.mid,Antoine,Busnoys,Resjois toy terre de France  Rex pacificus,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3054-Seule_a_par_moy.mid,Antoine,Busnoys,Seule a par moy,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3055-Soudainement_mon_cueur_a_pris.mid,Antoine,Busnoys,Soudainement mon cueur a pris,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3056-Terrible_dame.mid,Antoine,Busnoys,Terrible dame,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3057-Une_filleresse_destouppes__Sil_y_a_compagnon__Vostre_amour.mid,Antoine,Busnoys,Une filleresse destouppes  Sil y a compagnon  Vostre amour,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3058-Ung_grand_povre_homme.mid,Antoine,Busnoys,Ung grand povre homme,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3059-Ung_que_plus_tous_I.mid,Antoine,Busnoys,Ung que plus tous I,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3060-Ung_plus_que_tous_II.mid,Antoine,Busnoys,Ung plus que tous II,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3061-Vous_marchez__Marionnette.mid,Antoine,Busnoys,Vous marchez  Marionnette,,Song,Secular,RenComp7
Antoine_Busnoys/Bus3062-Vostre_gracieuse_acointance.mid,Antoine,Busnoys,Vostre gracieuse acointance,,Song,Secular,RenComp7
